tempo,rms_mean,spectral_centroid_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_14_mean,mfcc_15_mean,mfcc_16_mean,mfcc_17_mean,mfcc_18_mean,mfcc_19_mean,mfcc_20_mean,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,instrument_label,start_sec,duration_sec
126.0480183,0.369077176,1622.287478,-119.8705063,192.0748291,-53.56243896,19.31200409,-13.92215347,16.77843475,1.657472014,-34.79911804,-2.474936008,-8.243026733,7.711868763,0.614808798,3.131427288,13.57878494,-1.840694904,11.69279575,-8.966493607,-11.73360348,4.744833946,-8.140794754,0.115368374,0.112449676,0.135641769,0.425327301,0.586032331,0.190105036,0.132238269,0.080568254,0.12279702,0.053288326,0.099666126,0.212400228,Harmonium,0,3
55.56955645,0.373421937,1351.592485,-139.3226929,200.8708954,-51.78014374,19.15832138,-5.527440071,8.671174049,9.417021751,-21.82367134,-6.795291424,-12.33886909,-0.248451963,-10.03599453,-12.69474125,2.627231598,-9.405238152,0.433770269,0.588156462,0.691246033,10.68566227,7.512088776,0.205932841,0.201089859,0.09715841,0.159465,0.310153127,0.217710644,0.074243009,0.145712927,0.486291945,0.478313893,0.200644761,0.201173589,Harmonium,0,3
80.74951172,0.375707895,1325.972152,-133.1538696,202.8515015,-50.00601196,16.21645355,-9.553051949,6.640991688,11.23829079,-21.22345924,-6.204842567,-10.50317287,0.679076791,-8.377555847,-15.80028725,1.005078673,-6.943013191,-2.664544344,-1.736876726,-3.083075762,6.671123981,9.685414314,0.125240877,0.234530419,0.167705908,0.23281613,0.237758771,0.273188472,0.373440862,0.248114511,0.333284348,0.324230939,0.214040518,0.146918342,Harmonium,0,3
56.17357337,0.368146926,1371.078073,-139.6176605,200.8899384,-55.33717346,17.09556007,-5.084587574,9.550200462,8.606920242,-21.73073959,-6.334008694,-11.51955223,1.678430796,-9.143979073,-12.29144478,2.520240068,-9.425321579,0.156352282,-0.017334692,1.084646821,10.46532536,7.187681198,0.210083604,0.222312465,0.106718421,0.161488041,0.301207483,0.204135641,0.068827525,0.134575799,0.452630579,0.459552556,0.200905964,0.209635004,Harmonium,0,3
132.5120192,0.418246895,1319.629612,-141.6088867,201.4332123,-42.57215118,16.91644478,-2.511178255,6.187114239,5.197482586,-19.10394287,-5.649358273,-10.76776123,-0.452166051,-10.25987339,-9.605322838,2.784468651,-6.552823067,8.291537285,4.034676552,5.632459164,18.27647972,9.067976952,0.173409238,0.149001136,0.078649238,0.107383184,0.062348038,0.06222317,0.060378045,0.121576101,0.448633373,0.44483766,0.265308112,0.320152521,Harmonium,0,3
89.10290948,0.482319295,1416.993028,-177.0939484,161.4628754,-42.62651062,25.58455086,-6.668960571,-1.684024215,1.269451618,-27.5031414,-9.526521683,-14.98422813,-10.38401318,-8.622110367,-8.803850174,0.523479462,0.112116396,10.08402443,4.759166241,11.78614616,18.67410278,2.997494698,0.197088122,0.046378847,0.079693809,0.256480545,0.08569666,0.01340925,0.027061101,0.061288305,0.190163016,0.246718824,0.269288987,0.464046955,Harmonium,0,3
75.99954044,0.435530156,1398.172069,-124.9015732,199.5032501,-57.46121979,20.01814842,-12.97234917,6.111544609,10.15077782,-23.43352127,-10.14833069,-11.69588947,3.489588022,-16.19719696,-16.58317566,2.217730761,-12.52036476,1.823706985,-0.92779839,-0.975131333,14.24488354,14.30535412,0.035343282,0.036164206,0.022742432,0.056717876,0.062977396,0.048435219,0.040282812,0.175200835,0.676397383,0.701752841,0.255202949,0.044039488,Harmonium,0,3
89.10290948,0.404942751,1531.704827,-181.4971161,166.9430237,-46.84565735,26.35874748,-9.413687706,8.884954453,0.306540936,-37.83555984,-7.149019241,-16.34262466,-8.039942741,-4.018625259,-6.546611786,9.788294792,5.521427631,23.20482445,20.94511986,3.341270924,1.044502378,-16.70326424,0.442433774,0.941407323,0.259553045,0.069442883,0.053039879,0.083070114,0.03941514,0.071047001,0.182917893,0.056298759,0.043830048,0.087422341,Harmonium,0,3
92.28515625,0.437843651,1398.952855,-120.5431366,199.4976501,-48.00284958,33.592453,-11.69814777,2.373241425,11.62548065,-21.27781487,-4.971907616,-10.5377903,1.96669507,-11.06582069,-13.92628384,3.348031044,-10.68901539,1.019020319,0.965173006,1.830669165,14.19957542,11.19132614,0.067776859,0.047425348,0.059838761,0.14738743,0.219156772,0.124470629,0.061394207,0.113809235,0.429117382,0.602983654,0.297513694,0.164342046,Harmonium,0,3
55.56955645,0.368172556,1396.829308,-136.2654419,202.6612244,-52.161129,19.93195343,-11.5964365,3.394222498,6.662786007,-24.44481277,-6.184192181,-10.56088352,-0.120104052,-13.08639431,-16.22402573,-0.067897253,-11.54586983,1.729258537,1.925273895,1.769782901,12.1962595,6.531736374,0.209309757,0.187400386,0.091433667,0.167178109,0.302956253,0.212321103,0.08071693,0.150692925,0.503175735,0.483514905,0.204589009,0.204423994,Harmonium,0,3
83.35433468,0.415936202,1526.397298,-125.6677322,197.3395233,-59.85128021,25.96101952,-5.541798592,14.43788528,3.976232529,-30.58192825,-2.714166641,-15.66132164,-4.929061413,-3.735432148,-0.158707201,10.07341576,0.115485705,18.97108459,13.4713583,6.460856438,4.637156487,-11.24900913,0.657211065,0.598256767,0.183976829,0.162162721,0.102490686,0.074928813,0.052096471,0.112222001,0.126938328,0.060038533,0.061189979,0.225116163,Harmonium,0,3
77.13386194,0.455299616,1324.93044,-142.8064117,191.4754791,-43.05117798,28.54104996,-11.1204977,2.215236902,10.57053089,-24.26725769,-9.9584589,-10.15301323,-1.307179213,-18.28236961,-16.15161133,4.959742546,-12.86872768,-1.350882411,1.163721204,-0.706228137,16.72922897,18.93072891,0.025992109,0.029411398,0.018765181,0.05384098,0.060132749,0.040823933,0.034609105,0.171009928,0.671901047,0.697856605,0.249413624,0.038143273,Harmonium,0,3
97.50884434,0.418659061,1396.125897,-139.7462616,195.8565063,-53.46404266,9.904259682,-5.138383389,4.370820999,0.345178783,-22.76205254,-8.275905609,-11.75989342,0.054252476,-13.05317879,-12.16612339,0.238827035,-9.781441689,5.418040752,0.793697715,5.231328487,18.45341873,8.487620354,0.178747192,0.154132426,0.074895978,0.127939939,0.051282547,0.050534207,0.069121771,0.17238006,0.468620598,0.419465184,0.246673465,0.316028267,Harmonium,0,3
93.96306818,0.411825806,1565.43929,-123.0712051,199.3432617,-59.45116806,25.3443718,-13.29736328,7.498148441,-0.048792895,-33.70632935,-3.078799009,-12.69056034,-1.994790554,-7.201999664,-6.42592001,4.786734581,-5.063720703,16.55124474,12.5470562,6.844309807,5.181620121,-11.69032001,0.64899379,0.601476848,0.178493336,0.14177911,0.105097681,0.086090811,0.046062063,0.1004311,0.12198595,0.043614574,0.075466231,0.239645824,Harmonium,0,3
